jppfs_cor:NetCashProvidedByUsedInOperatingActivitiesAbstract,営業活動によるキャッシュ・フロー [タイトル項目],Cash flows from operating activities,Cash flows from operating activities [abstract]
jppfs_cor:SubtotalOpeCF,小計、営業活動によるキャッシュ・フロー,Subtotal,Subtotal-OpeCF
jppfs_cor:IncreaseDecreaseInSpecificBondsPayableOpeCFLIQ,特定社債の増減額（△は減少）、営業活動によるキャッシュ・フロー、資産流動化業,Increase (decrease) in specific bonds payable,Increase (decrease) in specific bonds payable-OpeCF-LIQ
jppfs_cor:NetCashProvidedByUsedInInvestmentActivitiesAbstract,投資活動によるキャッシュ・フロー [タイトル項目],Cash flows from investing activities,Cash flows from investing activities [abstract]
jppfs_cor:PurchaseOfSpecificAssetsInvCFLIQ,特定資産の取得による支出、投資活動によるキャッシュ・フロー、資産流動化業,Purchase of specific assets,Purchase of specific assets-InvCF-LIQ
jppfs_cor:NetCashProvidedByUsedInFinancingActivitiesAbstract,財務活動によるキャッシュ・フロー [タイトル項目],Cash flows from financing activities,Cash flows from financing activities [abstract]
jppfs_cor:ProceedsFromIssuanceOfSpecificSharesFinCFLIQ,特定出資の発行による収入、財務活動によるキャッシュ・フロー、資産流動化業,Proceeds from issuance of specific shares,Proceeds from issuance of specific shares-FinCF-LIQ
jppfs_cor:ProceedsFromIssuanceOfPreferredSharesFinCFLIQ,優先出資の発行による収入、財務活動によるキャッシュ・フロー、資産流動化業,Proceeds from issuance of preferred shares,Proceeds from issuance of preferred shares-FinCF-LIQ
jppfs_cor:ProceedsFromIssuanceOfSpecificBondsPayableFinCFLIQ,特定社債の発行による収入、財務活動によるキャッシュ・フロー、資産流動化業,Proceeds from issuance of specific bonds payable,Proceeds from issuance of specific bonds payable-FinCF-LIQ
nan,,,
nan,,,
名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:StatementOfMembersEquityAbstract,社員資本等変動計算書 [タイトル項目],Statement of members' equity,Statement of members' equity [abstract]
jppfs_cor:StatementOfMembersEquityTable,社員資本等変動計算書 [表],Statement of members' equity,Statement of members' equity [table]
jppfs_cor:ComponentsOfEquityAxis,純資産の内訳項目 [軸],Components of equity,Components of equity [axis]
jppfs_cor:NetAssetsMember,純資産 [メンバー],Net assets,Net assets [member]
jppfs_cor:MembersEquityLIQMember,社員資本、資産流動化業 [メンバー],Members' equity,Members' equity-LIQ [member]
jppfs_cor:SpecificSharesLIQMember,特定資本金、資産流動化業 [メンバー],Specific shares,Specific shares-LIQ [member]
jppfs_cor:PreferredSharesLIQMember,優先資本金、資産流動化業 [メンバー],Preferred shares,Preferred shares-LIQ [member]
jppfs_cor:SurplusLIQMember,剰余金、資産流動化業 [メンバー],Surplus,Surplus-LIQ [member]
jppfs_cor:VoluntaryRetainedEarningsMember,任意積立金 [メンバー],Voluntary retained earnings,Voluntary retained earnings [member]
jppfs_cor:UnappropriatedRetainedEarningsUndisposedLossLIQMember,当期未処分利益又は当期未処理損失（△）、資産流動化業 [メンバー],Unappropriated retained earnings (undisposed loss),Unappropriated retained earnings (undisposed loss)-LIQ [member]
jppfs_cor:TreasurySpecificStockLIQMember,自己特定出資、資産流動化業 [メンバー],Treasury specific shares,Treasury specific shares-LIQ [member]
jppfs_cor:TreasuryPreferredStockLIQMember,自己優先出資、資産流動化業 [メンバー],Treasury preferred shares,Treasury preferred shares-LIQ [member]
jppfs_cor:ValuationAndTranslationAdjustmentsMember,評価・換算差額等 [メンバー],Valuation and translation adjustments,Valuation and translation adjustments [member]
jppfs_cor:ValuationDifferenceOnAvailableForSaleSecuritiesMember,その他有価証券評価差額金 [メンバー],Valuation difference on available-for-sale securities,Valuation difference on available-for-sale securities [member]
