jppfs_cor:GeneralAndAdministrativeExpensesGAS,一般管理費、ガス事業,General and administrative expenses,General and administrative expenses-GAS
jppfs_cor:SellingGeneralAndAdministrativeExpensesGAS,供給販売費及び一般管理費、ガス事業,"Selling, general and administrative expenses","Selling, general and administrative expenses-GAS"
jppfs_cor:IncomeOnCoreBusinessGAS,事業利益又は事業損失（△）、ガス事業,Profit (loss) on core business,Profit (loss) on core business - GAS
jppfs_cor:MiscellaneousOperatingRevenueAbstractGAS,営業雑収益、ガス事業 [タイトル項目],Miscellaneous operating revenue,Miscellaneous operating revenue-GAS [abstract]
jppfs_cor:RevenueFromInstallationWorkGAS,受注工事収益、ガス事業,Revenue from installation work,Revenue from installation work-GAS
jppfs_cor:RevenueFromGasApplianceSalesGAS,器具販売収益、ガス事業,Revenue from gas appliance sales,Revenue from gas appliance sales-GAS
jppfs_cor:OtherMiscellaneousOperatingRevenueGAS,その他営業雑収益、ガス事業,Other miscellaneous operating revenue,Other miscellaneous operating revenue-GAS
jppfs_cor:MiscellaneousOperatingRevenueGAS,営業雑収益、ガス事業,Miscellaneous operating revenue,Miscellaneous operating revenue-GAS
jppfs_cor:MiscellaneousOperatingExpensesAbstractGAS,営業雑費用、ガス事業 [タイトル項目],Miscellaneous operating expenses,Miscellaneous operating expenses-GAS [abstract]
jppfs_cor:ExpensesOfInstallationWorkGAS,受注工事費用、ガス事業,Expenses of installation work,Expenses of installation work-GAS
jppfs_cor:OtherMiscellaneousOperatingExpensesGAS,その他営業雑費用、ガス事業,Other miscellaneous operating expenses,Other miscellaneous operating expenses - GAS
jppfs_cor:ExpensesOfGasApplianceSalesGAS,器具販売費用、ガス事業,Expenses of gas appliance sales,Expenses of gas appliance sales-GAS
jppfs_cor:OperatingMiscellaneousExpensesGAS,営業雑費用、ガス事業,Miscellaneous operating expenses,Miscellaneous operating expenses - GAS
jppfs_cor:RevenueForIncidentalBusinessesAbstractGAS,附帯事業収益、ガス事業 [タイトル項目],Revenue for incidental businesses,Revenue for incidental businesses-GAS [abstract]
jppfs_cor:RevenueFromDistrictHeatingAndCoolingBusinessGAS,熱供給収益、ガス事業,Revenue from district heating and cooling business,Revenue from district heating and cooling business-GAS
jppfs_cor:RevenueFromLNGSalesGAS,ＬＮＧ販売収益、ガス事業,Revenue from LNG sales,Revenue from LNG sales-GAS
jppfs_cor:RevenueFromOtherIncidentalBusinessesGAS,その他附帯事業収益、ガス事業,Revenue from other incidental businesses,Revenue from other incidental businesses-GAS
jppfs_cor:RevenueForIncidentalBusinessesGAS,附帯事業収益、ガス事業,Revenue for incidental businesses,Revenue for incidental businesses-GAS
jppfs_cor:ExpensesForIncidentalBusinessesAbstractGAS,附帯事業費用、ガス事業 [タイトル項目],Expenses for incidental businesses,Expenses for incidental businesses-GAS [abstract]
jppfs_cor:ExpensesForDistrictHeatingAndCoolingBusinessGAS,熱供給費用、ガス事業,Expenses for district heating and cooling business,Expenses for district heating and cooling business-GAS
jppfs_cor:ExpensesForLNGSalesGAS,ＬＮＧ販売費用、ガス事業,Expenses for LNG sales,Expenses for LNG sales-GAS
jppfs_cor:ExpensesForOtherIncidentalBusinessesGAS,その他附帯事業費用、ガス事業,Expenses for other incidental businesses,Expenses for other incidental businesses-GAS
jppfs_cor:ExpensesForIncidentalBusinessesGAS,附帯事業費用、ガス事業,Expenses for incidental businesses,Expenses for incidental businesses-GAS
jppfs_cor:OperatingIncome,営業利益又は営業損失（△）,Operating profit (loss),Operating profit (loss)
jppfs_cor:NonOperatingIncomeAbstract,営業外収益 [タイトル項目],Non-operating income,Non-operating income [abstract]
jppfs_cor:InterestIncomeNOI,受取利息、営業外収益,Interest income,Interest income-NOI
jppfs_cor:InterestOnSecuritiesNOI,有価証券利息、営業外収益,Interest on securities,Interest on securities-NOI
jppfs_cor:DividendsIncomeNOI,受取配当金、営業外収益,Dividend income,Dividend income-NOI
jppfs_cor:MiscellaneousIncomeGAS,雑収入、ガス事業,Miscellaneous income,Miscellaneous income-GAS
jppfs_cor:NonOperatingIncome,営業外収益,Non-operating income,Non-operating income
jppfs_cor:NonOperatingExpensesAbstract,営業外費用 [タイトル項目],Non-operating expenses,Non-operating expenses [abstract]
jppfs_cor:InterestExpensesNOE,支払利息、営業外費用,Interest expenses,Interest expenses-NOE
jppfs_cor:InterestOnBondsNOE,社債利息、営業外費用,Interest on bonds,Interest on bonds-NOE
jppfs_cor:CorporateBondInterestGAS,企業債利息、ガス事業,Corporate bond interest,Corporate bond interest-GAS
jppfs_cor:AmortizationOfCorporateBondDiscountGAS,企業債発行差金償却、ガス事業,Amortization of corporate bond discount,Amortization of corporate bond discount-GAS
jppfs_cor:AmortizationOfStockIssuanceCostNOE,株式交付費償却、営業外費用,Amortization of share issuance cost,Amortization of share issuance cost-NOE
jppfs_cor:AmortizationOfBondIssuanceCostNOE,社債発行費償却、営業外費用,Amortization of bond issuance cost,Amortization of bond issuance cost-NOE
jppfs_cor:AmortizationOfCorporateBondIssuanceCostGAS,企業債発行費償却、ガス事業,Amortization of corporate bond issuance cost,Amortization of corporate bond issuance cost-GAS
jppfs_cor:AmortizationOfDeferredOrganizationExpensesNOE,創立費償却、営業外費用,Amortization of deferred organization expenses,Amortization of deferred organization expenses-NOE
