タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jpigp_cor:NotesOtherComponentsOfEquityAndOtherComprehensiveIncomeFinancialStatementsIFRSHeading,注記事項－その他の資本の構成要素及びその他の包括利益、財務諸表（IFRS） [目次項目],Notes - Other components of equity and other comprehensive income,"Notes - Other components of equity and other comprehensive income, Financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherComponentsOfEquityAndOtherComprehensiveIncomeFinancialStatementsIFRSTextBlock,注記事項－その他の資本の構成要素及びその他の包括利益、財務諸表（IFRS） [テキストブロック],Notes - Other components of equity and other comprehensive income,"Notes - Other components of equity and other comprehensive income, Financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherComponentsOfEquityFinancialStatementsIFRSHeading,注記事項－その他の資本の構成要素、財務諸表（IFRS） [目次項目],Notes - Other components of equity,"Notes - Other components of equity, Financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherComponentsOfEquityFinancialStatementsIFRSTextBlock,注記事項－その他の資本の構成要素、財務諸表（IFRS） [テキストブロック],Notes - Other components of equity,"Notes - Other components of equity, Financial statements (IFRS) [text block]"
jpigp_cor:NotesAccumulatedOtherComprehensiveIncomeAndOtherComprehensiveIncomeFinancialStatementsIFRSHeading,注記事項－その他の包括利益累計額及びその他の包括利益、財務諸表（IFRS） [目次項目],Notes - Accumulated other comprehensive income and other comprehensive income,"Notes - Accumulated other comprehensive income and other comprehensive income, Financial statements (IFRS) [heading]"
jpigp_cor:NotesAccumulatedOtherComprehensiveIncomeAndOtherComprehensiveIncomeFinancialStatementsIFRSTextBlock,注記事項－その他の包括利益累計額及びその他の包括利益、財務諸表（IFRS） [テキストブロック],Notes - Accumulated other comprehensive income and other comprehensive income,"Notes - Accumulated other comprehensive income and other comprehensive income, Financial statements (IFRS) [text block]"
jpigp_cor:NotesDividendsFinancialStatementsIFRSHeading,注記事項－配当金、財務諸表（IFRS） [目次項目],Notes - Dividends,"Notes - Dividends, Financial statements (IFRS) [heading]"
jpigp_cor:NotesDividendsFinancialStatementsIFRSTextBlock,注記事項－配当金、財務諸表（IFRS） [テキストブロック],Notes - Dividends,"Notes - Dividends, Financial statements (IFRS) [text block]"
jpigp_cor:NotesRevenueFinancialStatementsIFRSHeading,注記事項－売上収益、財務諸表（IFRS） [目次項目],Notes - Revenue,"Notes - Revenue, Financial statements (IFRS) [heading]"
jpigp_cor:NotesRevenueFinancialStatementsIFRSTextBlock,注記事項－売上収益、財務諸表（IFRS） [テキストブロック],Notes - Revenue,"Notes - Revenue, Financial statements (IFRS) [text block]"
jpigp_cor:NotesRevenue2FinancialStatementsIFRSHeading,注記事項－収益、財務諸表（IFRS） [目次項目],Notes - Revenue,"Notes - Revenue 2, Financial statements (IFRS) [heading]"
jpigp_cor:NotesRevenue2FinancialStatementsIFRSTextBlock,注記事項－収益、財務諸表（IFRS） [テキストブロック],Notes - Revenue,"Notes - Revenue 2, Financial statements (IFRS) [text block]"
jpigp_cor:NotesNetSalesFinancialStatementsIFRSHeading,注記事項－売上高、財務諸表（IFRS） [目次項目],Notes - Net sales,"Notes - Net sales, Financial statements (IFRS) [heading]"
jpigp_cor:NotesNetSalesFinancialStatementsIFRSTextBlock,注記事項－売上高、財務諸表（IFRS） [テキストブロック],Notes - Net sales,"Notes - Net sales, Financial statements (IFRS) [text block]"
jpigp_cor:NotesConstructionContractsFinancialStatementsIFRSHeading,注記事項－工事契約、財務諸表（IFRS） [目次項目],Notes - Construction contracts,"Notes - Construction contracts, Financial statements (IFRS) [heading]"
jpigp_cor:NotesConstructionContractsFinancialStatementsIFRSTextBlock,注記事項－工事契約、財務諸表（IFRS） [テキストブロック],Notes - Construction contracts,"Notes - Construction contracts, Financial statements (IFRS) [text block]"
jpigp_cor:NotesOperatingExpensesFinancialStatementsIFRSHeading,注記事項－営業費用、財務諸表（IFRS） [目次項目],Notes - Operating expenses,"Notes - Operating expenses, Financial statements (IFRS) [heading]"
jpigp_cor:NotesOperatingExpensesFinancialStatementsIFRSTextBlock,注記事項－営業費用、財務諸表（IFRS） [テキストブロック],Notes - Operating expenses,"Notes - Operating expenses, Financial statements (IFRS) [text block]"
jpigp_cor:NotesCostOfSalesAndSellingGeneralAndAdministrativeExpensesFinancialStatementsIFRSHeading,注記事項－売上原価、販売費及び一般管理費、財務諸表（IFRS） [目次項目],"Notes - Cost of sales and selling, general and administrative expenses","Notes - Cost of sales and selling, general and administrative expenses, Financial statements (IFRS) [heading]"
jpigp_cor:NotesCostOfSalesAndSellingGeneralAndAdministrativeExpensesFinancialStatementsIFRSTextBlock,注記事項－売上原価、販売費及び一般管理費、財務諸表（IFRS） [テキストブロック],"Notes - Cost of sales and selling, general and administrative expenses","Notes - Cost of sales and selling, general and administrative expenses, Financial statements (IFRS) [text block]"
jpigp_cor:NotesCostOfSalesFinancialStatementsIFRSHeading,注記事項－売上原価、財務諸表（IFRS） [目次項目],Notes - Cost of sales,"Notes - Cost of sales, Financial statements (IFRS) [heading]"
jpigp_cor:NotesCostOfSalesFinancialStatementsIFRSTextBlock,注記事項－売上原価、財務諸表（IFRS） [テキストブロック],Notes - Cost of sales,"Notes - Cost of sales, Financial statements (IFRS) [text block]"
jpigp_cor:NotesSellingGeneralAndAdministrativeExpensesFinancialStatementsIFRSHeading,注記事項－販売費及び一般管理費、財務諸表（IFRS） [目次項目],"Notes - Selling, general and administrative expenses","Notes - Selling, general and administrative expenses, Financial statements (IFRS) [heading]"
jpigp_cor:NotesSellingGeneralAndAdministrativeExpensesFinancialStatementsIFRSTextBlock,注記事項－販売費及び一般管理費、財務諸表（IFRS） [テキストブロック],"Notes - Selling, general and administrative expenses","Notes - Selling, general and administrative expenses, Financial statements (IFRS) [text block]"
jpigp_cor:NotesSellingExpensesFinancialStatementsIFRSHeading,注記事項－販売費、財務諸表（IFRS） [目次項目],Notes - Selling expenses,"Notes - Selling expenses, Financial statements (IFRS) [heading]"
jpigp_cor:NotesSellingExpensesFinancialStatementsIFRSTextBlock,注記事項－販売費、財務諸表（IFRS） [テキストブロック],Notes - Selling expenses,"Notes - Selling expenses, Financial statements (IFRS) [text block]"
jpigp_cor:NotesGeneralAndAdministrativeExpensesFinancialStatementsIFRSHeading,注記事項－一般管理費、財務諸表（IFRS） [目次項目],Notes - General and administrative expenses,"Notes - General and administrative expenses, Financial statements (IFRS) [heading]"
jpigp_cor:NotesGeneralAndAdministrativeExpensesFinancialStatementsIFRSTextBlock,注記事項－一般管理費、財務諸表（IFRS） [テキストブロック],Notes - General and administrative expenses,"Notes - General and administrative expenses, Financial statements (IFRS) [text block]"
jpigp_cor:NotesResearchAndDevelopmentExpensesFinancialStatementsIFRSHeading,注記事項－研究開発費、財務諸表（IFRS） [目次項目],Notes - Research and development expenses,"Notes - Research and development expenses, Financial statements (IFRS) [heading]"
jpigp_cor:NotesResearchAndDevelopmentExpensesFinancialStatementsIFRSTextBlock,注記事項－研究開発費、財務諸表（IFRS） [テキストブロック],Notes - Research and development expenses,"Notes - Research and development expenses, Financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherIncomeAndOtherExpensesFinancialStatementsIFRSHeading,注記事項－その他の収益及びその他の費用、財務諸表（IFRS） [目次項目],Notes - Other income and other expenses,"Notes - Other income and other expenses, Financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherIncomeAndOtherExpensesFinancialStatementsIFRSTextBlock,注記事項－その他の収益及びその他の費用、財務諸表（IFRS） [テキストブロック],Notes - Other income and other expenses,"Notes - Other income and other expenses, Financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherOperatingIncomeAndExpensesFinancialStatementsIFRSHeading,注記事項－その他の営業収益及び営業費用、財務諸表（IFRS） [目次項目],Notes - Other operating income and expenses,"Notes - Other operating income and expenses, Financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherOperatingIncomeAndExpensesFinancialStatementsIFRSTextBlock,注記事項－その他の営業収益及び営業費用、財務諸表（IFRS） [テキストブロック],Notes - Other operating income and expenses,"Notes - Other operating income and expenses, Financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherIncomeFinancialStatementsIFRSHeading,注記事項－その他の収益、財務諸表（IFRS） [目次項目],Notes - Other income,"Notes - Other income, Financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherIncomeFinancialStatementsIFRSTextBlock,注記事項－その他の収益、財務諸表（IFRS） [テキストブロック],Notes - Other income,"Notes - Other income, Financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherOperatingIncomeFinancialStatementsIFRSHeading,注記事項－その他の営業収益、財務諸表（IFRS） [目次項目],Notes - Other operating income,"Notes - Other operating income, Financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherOperatingIncomeFinancialStatementsIFRSTextBlock,注記事項－その他の営業収益、財務諸表（IFRS） [テキストブロック],Notes - Other operating income,"Notes - Other operating income, Financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherExpensesFinancialStatementsIFRSHeading,注記事項－その他の費用、財務諸表（IFRS） [目次項目],Notes - Other expenses,"Notes - Other expenses, Financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherExpensesFinancialStatementsIFRSTextBlock,注記事項－その他の費用、財務諸表（IFRS） [テキストブロック],Notes - Other expenses,"Notes - Other expenses, Financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherOperatingExpensesFinancialStatementsIFRSHeading,注記事項－その他の営業費用、財務諸表（IFRS） [目次項目],Notes - Other operating expenses,"Notes - Other operating expenses, Financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherOperatingExpensesFinancialStatementsIFRSTextBlock,注記事項－その他の営業費用、財務諸表（IFRS） [テキストブロック],Notes - Other operating expenses,"Notes - Other operating expenses, Financial statements (IFRS) [text block]"
jpigp_cor:NotesExceptionalItemsFinancialStatementsIFRSHeading,注記事項－個別開示項目、財務諸表（IFRS） [目次項目],Notes - Exceptional items,"Notes - Exceptional items, Financial statements (IFRS) [heading]"
jpigp_cor:NotesExceptionalItemsFinancialStatementsIFRSTextBlock,注記事項－個別開示項目、財務諸表（IFRS） [テキストブロック],Notes - Exceptional items,"Notes - Exceptional items, Financial statements (IFRS) [text block]"
jpigp_cor:NotesPersonnelExpensesFinancialStatementsIFRSHeading,注記事項－人件費、財務諸表（IFRS） [目次項目],Notes - Personnel expenses,"Notes - Personnel expenses, Financial statements (IFRS) [heading]"
jpigp_cor:NotesPersonnelExpensesFinancialStatementsIFRSTextBlock,注記事項－人件費、財務諸表（IFRS） [テキストブロック],Notes - Personnel expenses,"Notes - Personnel expenses, Financial statements (IFRS) [text block]"
jpigp_cor:NotesEmployeeBenefitExpensesFinancialStatementsIFRSHeading,注記事項－従業員給付費用、財務諸表（IFRS） [目次項目],Notes - Employee benefit expenses,"Notes - Employee benefit expenses, Financial statements (IFRS) [heading]"
jpigp_cor:NotesEmployeeBenefitExpensesFinancialStatementsIFRSTextBlock,注記事項－従業員給付費用、財務諸表（IFRS） [テキストブロック],Notes - Employee benefit expenses,"Notes - Employee benefit expenses, Financial statements (IFRS) [text block]"
jpigp_cor:NotesEmployeeBenefitsFinancialStatementsIFRSHeading,注記事項－従業員給付、財務諸表（IFRS） [目次項目],Notes - Employee benefits,"Notes - Employee benefits, Financial statements (IFRS) [heading]"
jpigp_cor:NotesEmployeeBenefitsFinancialStatementsIFRSTextBlock,注記事項－従業員給付、財務諸表（IFRS） [テキストブロック],Notes - Employee benefits,"Notes - Employee benefits, Financial statements (IFRS) [text block]"
jpigp_cor:NotesRetirementBenefitsFinancialStatementsIFRSHeading,注記事項－退職給付、財務諸表（IFRS） [目次項目],Notes - Retirement benefits,"Notes - Retirement benefits, Financial statements (IFRS) [heading]"
jpigp_cor:NotesRetirementBenefitsFinancialStatementsIFRSTextBlock,注記事項－退職給付、財務諸表（IFRS） [テキストブロック],Notes - Retirement benefits,"Notes - Retirement benefits, Financial statements (IFRS) [text block]"
jpigp_cor:NotesFinanceIncomeAndFinanceCostsFinancialStatementsIFRSHeading,注記事項－金融収益及び金融費用、財務諸表（IFRS） [目次項目],Notes - Finance income and finance costs,"Notes - Finance income and finance costs, Financial statements (IFRS) [heading]"
jpigp_cor:NotesFinanceIncomeAndFinanceCostsFinancialStatementsIFRSTextBlock,注記事項－金融収益及び金融費用、財務諸表（IFRS） [テキストブロック],Notes - Finance income and finance costs,"Notes - Finance income and finance costs, Financial statements (IFRS) [text block]"
jpigp_cor:NotesFinanceIncomeFinancialStatementsIFRSHeading,注記事項－金融収益、財務諸表（IFRS） [目次項目],Notes - Finance income,"Notes - Finance income, Financial statements (IFRS) [heading]"
jpigp_cor:NotesFinanceIncomeFinancialStatementsIFRSTextBlock,注記事項－金融収益、財務諸表（IFRS） [テキストブロック],Notes - Finance income,"Notes - Finance income, Financial statements (IFRS) [text block]"
jpigp_cor:NotesFinanceCostsFinancialStatementsIFRSHeading,注記事項－金融費用、財務諸表（IFRS） [目次項目],Notes - Finance costs,"Notes - Finance costs, Financial statements (IFRS) [heading]"
jpigp_cor:NotesFinanceCostsFinancialStatementsIFRSTextBlock,注記事項－金融費用、財務諸表（IFRS） [テキストブロック],Notes - Finance costs,"Notes - Finance costs, Financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherNonOperatingIncomeAndExpensesFinancialStatementsIFRSHeading,注記事項－その他の営業外損益、財務諸表（IFRS） [目次項目],Notes - Other non-operating income and expenses,"Notes - Other non-operating income and expenses, Financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherNonOperatingIncomeAndExpensesFinancialStatementsIFRSTextBlock,注記事項－その他の営業外損益、財務諸表（IFRS） [テキストブロック],Notes - Other non-operating income and expenses,"Notes - Other non-operating income and expenses, Financial statements (IFRS) [text block]"
jpigp_cor:NotesForeignExchangeGainAndLossFinancialStatementsIFRSHeading,注記事項－為替差損益、財務諸表（IFRS） [目次項目],Notes - Foreign exchange gain and loss,"Notes - Foreign exchange gain and loss, Financial statements (IFRS) [heading]"
jpigp_cor:NotesForeignExchangeGainAndLossFinancialStatementsIFRSTextBlock,注記事項－為替差損益、財務諸表（IFRS） [テキストブロック],Notes - Foreign exchange gain and loss,"Notes - Foreign exchange gain and loss, Financial statements (IFRS) [text block]"
jpigp_cor:NotesExpensesByNatureFinancialStatementsIFRSHeading,注記事項－費用の性質別内訳、財務諸表（IFRS） [目次項目],Notes - Expenses by nature,"Notes - Expenses by nature, Financial statements (IFRS) [heading]"
jpigp_cor:NotesExpensesByNatureFinancialStatementsIFRSTextBlock,注記事項－費用の性質別内訳、財務諸表（IFRS） [テキストブロック],Notes - Expenses by nature,"Notes - Expenses by nature, Financial statements (IFRS) [text block]"
jpigp_cor:NotesDiscontinuedOperationsFinancialStatementsIFRSHeading,注記事項－非継続事業、財務諸表（IFRS） [目次項目],Notes - Discontinued operations,"Notes - Discontinued operations, Financial statements (IFRS) [heading]"
jpigp_cor:NotesDiscontinuedOperationsFinancialStatementsIFRSTextBlock,注記事項－非継続事業、財務諸表（IFRS） [テキストブロック],Notes - Discontinued operations,"Notes - Discontinued operations, Financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherComprehensiveIncomeFinancialStatementsIFRSHeading,注記事項－その他の包括利益、財務諸表（IFRS） [目次項目],Notes - Other comprehensive income,"Notes - Other comprehensive income, Financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherComprehensiveIncomeFinancialStatementsIFRSTextBlock,注記事項－その他の包括利益、財務諸表（IFRS） [テキストブロック],Notes - Other comprehensive income,"Notes - Other comprehensive income, Financial statements (IFRS) [text block]"
jpigp_cor:NotesEarningsPerShareFinancialStatementsIFRSHeading,注記事項－１株当たり利益、財務諸表（IFRS） [目次項目],Notes - Earnings per share,"Notes - Earnings per share, Financial statements (IFRS) [heading]"
jpigp_cor:NotesEarningsPerShareFinancialStatementsIFRSTextBlock,注記事項－１株当たり利益、財務諸表（IFRS） [テキストブロック],Notes - Earnings per share,"Notes - Earnings per share, Financial statements (IFRS) [text block]"
jpigp_cor:NotesNonCashTransactionsFinancialStatementsIFRSHeading,注記事項－非資金取引、財務諸表（IFRS） [目次項目],Notes - Non-cash transactions,"Notes - Non-cash transactions, Financial statements (IFRS) [heading]"
jpigp_cor:NotesNonCashTransactionsFinancialStatementsIFRSTextBlock,注記事項－非資金取引、財務諸表（IFRS） [テキストブロック],Notes - Non-cash transactions,"Notes - Non-cash transactions, Financial statements (IFRS) [text block]"
jpigp_cor:NotesShareBasedPaymentsFinancialStatementsIFRSHeading,注記事項－株式報酬、財務諸表（IFRS） [目次項目],Notes - Share-based payments,"Notes - Share-based payments, Financial statements (IFRS) [heading]"
jpigp_cor:NotesShareBasedPaymentsFinancialStatementsIFRSTextBlock,注記事項－株式報酬、財務諸表（IFRS） [テキストブロック],Notes - Share-based payments,"Notes - Share-based payments, Financial statements (IFRS) [text block]"
jpigp_cor:NotesFinancialInstrumentsFinancialStatementsIFRSHeading,注記事項－金融商品、財務諸表（IFRS） [目次項目],Notes - Financial instruments,"Notes - Financial instruments, Financial statements (IFRS) [heading]"
jpigp_cor:NotesFinancialInstrumentsFinancialStatementsIFRSTextBlock,注記事項－金融商品、財務諸表（IFRS） [テキストブロック],Notes - Financial instruments,"Notes - Financial instruments, Financial statements (IFRS) [text block]"
jpigp_cor:NotesFinancialRiskManagementFinancialStatementsIFRSHeading,注記事項－金融リスク管理、財務諸表（IFRS） [目次項目],Notes - Financial risk management,"Notes - Financial risk management, Financial statements (IFRS) [heading]"
jpigp_cor:NotesFinancialRiskManagementFinancialStatementsIFRSTextBlock,注記事項－金融リスク管理、財務諸表（IFRS） [テキストブロック],Notes - Financial risk management,"Notes - Financial risk management, Financial statements (IFRS) [text block]"
jpigp_cor:NotesFairValueOfFinancialInstrumentsFinancialStatementsIFRSHeading,注記事項－金融商品の公正価値、財務諸表（IFRS） [目次項目],Notes - Fair value of financial instruments,"Notes - Fair value of financial instruments, Financial statements (IFRS) [heading]"
jpigp_cor:NotesFairValueOfFinancialInstrumentsFinancialStatementsIFRSTextBlock,注記事項－金融商品の公正価値、財務諸表（IFRS） [テキストブロック],Notes - Fair value of financial instruments,"Notes - Fair value of financial instruments, Financial statements (IFRS) [text block]"
jpigp_cor:NotesHedgeAccountingFinancialStatementsIFRSHeading,注記事項－ヘッジ会計、財務諸表（IFRS） [目次項目],Notes - Hedge accounting,"Notes - Hedge accounting, Financial statements (IFRS) [heading]"
jpigp_cor:NotesHedgeAccountingFinancialStatementsIFRSTextBlock,注記事項－ヘッジ会計、財務諸表（IFRS） [テキストブロック],Notes - Hedge accounting,"Notes - Hedge accounting, Financial statements (IFRS) [text block]"
jpigp_cor:NotesOffsettingOfFinancialAssetsAndFinancialLiabilitiesFinancialStatementsIFRSHeading,注記事項－金融資産と金融負債の相殺、財務諸表（IFRS） [目次項目],Notes - Offsetting of financial assets and financial liabilities,"Notes - Offsetting of financial assets and financial liabilities, Financial statements (IFRS) [heading]"
jpigp_cor:NotesOffsettingOfFinancialAssetsAndFinancialLiabilitiesFinancialStatementsIFRSTextBlock,注記事項－金融資産と金融負債の相殺、財務諸表（IFRS） [テキストブロック],Notes - Offsetting of financial assets and financial liabilities,"Notes - Offsetting of financial assets and financial liabilities, Financial statements (IFRS) [text block]"
jpigp_cor:NotesTransfersOfFinancialAssetsFinancialStatementsIFRSHeading,注記事項－金融資産の譲渡、財務諸表（IFRS） [目次項目],Notes - Transfers of financial assets,"Notes - Transfers of financial assets, Financial statements (IFRS) [heading]"
jpigp_cor:NotesTransfersOfFinancialAssetsFinancialStatementsIFRSTextBlock,注記事項－金融資産の譲渡、財務諸表（IFRS） [テキストブロック],Notes - Transfers of financial assets,"Notes - Transfers of financial assets, Financial statements (IFRS) [text block]"
jpigp_cor:NotesCashFlowInformationFinancialStatementsIFRSHeading,注記事項－キャッシュ・フロー情報、財務諸表（IFRS） [目次項目],Notes - Cash flow information,"Notes - Cash flow information, Financial statements (IFRS) [heading]"
jpigp_cor:NotesCashFlowInformationFinancialStatementsIFRSTextBlock,注記事項－キャッシュ・フロー情報、財務諸表（IFRS） [テキストブロック],Notes - Cash flow information,"Notes - Cash flow information, Financial statements (IFRS) [text block]"
jpigp_cor:NotesLeasesFinancialStatementsIFRSHeading,注記事項－リース、財務諸表（IFRS） [目次項目],Notes - Leases,"Notes - Leases, Financial statements (IFRS) [heading]"
jpigp_cor:NotesLeasesFinancialStatementsIFRSTextBlock,注記事項－リース、財務諸表（IFRS） [テキストブロック],Notes - Leases,"Notes - Leases, Financial statements (IFRS) [text block]"
jpigp_cor:NotesFinanceLeasesFinancialStatementsIFRSHeading,注記事項－ファイナンス・リース、財務諸表（IFRS） [目次項目],Notes - Finance leases,"Notes - Finance leases, Financial statements (IFRS) [heading]"
jpigp_cor:NotesFinanceLeasesFinancialStatementsIFRSTextBlock,注記事項－ファイナンス・リース、財務諸表（IFRS） [テキストブロック],Notes - Finance leases,"Notes - Finance leases, Financial statements (IFRS) [text block]"
jpigp_cor:NotesOperatingLeasesFinancialStatementsIFRSHeading,注記事項－オペレーティング・リース、財務諸表（IFRS） [目次項目],Notes - Operating leases,"Notes - Operating leases, Financial statements (IFRS) [heading]"
jpigp_cor:NotesOperatingLeasesFinancialStatementsIFRSTextBlock,注記事項－オペレーティング・リース、財務諸表（IFRS） [テキストブロック],Notes - Operating leases,"Notes - Operating leases, Financial statements (IFRS) [text block]"
jpigp_cor:NotesPledgedAssetsFinancialStatementsIFRSHeading,注記事項－担保、財務諸表（IFRS） [目次項目],Notes - Pledged assets,"Notes - Pledged assets, Financial statements (IFRS) [heading]"
jpigp_cor:NotesPledgedAssetsFinancialStatementsIFRSTextBlock,注記事項－担保、財務諸表（IFRS） [テキストブロック],Notes - Pledged assets,"Notes - Pledged assets, Financial statements (IFRS) [text block]"
jpigp_cor:NotesRelatedPartiesFinancialStatementsIFRSHeading,注記事項－関連当事者、財務諸表（IFRS） [目次項目],Notes - Related parties,"Notes - Related parties, Financial statements (IFRS) [heading]"
jpigp_cor:NotesRelatedPartiesFinancialStatementsIFRSTextBlock,注記事項－関連当事者、財務諸表（IFRS） [テキストブロック],Notes - Related parties,"Notes - Related parties, Financial statements (IFRS) [text block]"
jpigp_cor:NotesCommitmentsAndContingentLiabilitiesFinancialStatementsIFRSHeading,注記事項－コミットメント及び偶発債務、財務諸表（IFRS） [目次項目],Notes - Commitments and contingent liabilities,"Notes - Commitments and contingent liabilities, Financial statements (IFRS) [heading]"
jpigp_cor:NotesCommitmentsAndContingentLiabilitiesFinancialStatementsIFRSTextBlock,注記事項－コミットメント及び偶発債務、財務諸表（IFRS） [テキストブロック],Notes - Commitments and contingent liabilities,"Notes - Commitments and contingent liabilities, Financial statements (IFRS) [text block]"
jpigp_cor:NotesCommitmentsFinancialStatementsIFRSHeading,注記事項－コミットメント、財務諸表（IFRS） [目次項目],Notes - Commitments,"Notes - Commitments, Financial statements (IFRS) [heading]"
jpigp_cor:NotesCommitmentsFinancialStatementsIFRSTextBlock,注記事項－コミットメント、財務諸表（IFRS） [テキストブロック],Notes - Commitments,"Notes - Commitments, Financial statements (IFRS) [text block]"
jpigp_cor:NotesContingentLiabilitiesFinancialStatementsIFRSHeading,注記事項－偶発債務、財務諸表（IFRS） [目次項目],Notes - Contingent liabilities,"Notes - Contingent liabilities, Financial statements (IFRS) [heading]"
jpigp_cor:NotesContingentLiabilitiesFinancialStatementsIFRSTextBlock,注記事項－偶発債務、財務諸表（IFRS） [テキストブロック],Notes - Contingent liabilities,"Notes - Contingent liabilities, Financial statements (IFRS) [text block]"
jpigp_cor:NotesSubsequentEventsFinancialStatementsIFRSHeading,注記事項－後発事象、財務諸表（IFRS） [目次項目],Notes - Subsequent events,"Notes - Subsequent events, Financial statements (IFRS) [heading]"
jpigp_cor:NotesSubsequentEventsFinancialStatementsIFRSTextBlock,注記事項－後発事象、財務諸表（IFRS） [テキストブロック],Notes - Subsequent events,"Notes - Subsequent events, Financial statements (IFRS) [text block]"
jpigp_cor:NotesApprovalOfFinancialStatementsIFRSHeading,注記事項－財務諸表の承認（IFRS） [目次項目],Notes - Approval of financial statements,Notes - Approval of financial statements (IFRS) [heading]
jpigp_cor:NotesApprovalOfFinancialStatementsIFRSTextBlock,注記事項－財務諸表の承認（IFRS） [テキストブロック],Notes - Approval of financial statements,Notes - Approval of financial statements (IFRS) [text block]
jpigp_cor:NotesFirstTimeAdoptionFinancialStatementsIFRSHeading,注記事項－初度適用、財務諸表（IFRS） [目次項目],Notes - First-time adoption,"Notes - First-time adoption, Financial statements (IFRS) [heading]"
jpigp_cor:NotesFirstTimeAdoptionFinancialStatementsIFRSTextBlock,注記事項－初度適用、財務諸表（IFRS） [テキストブロック],Notes - First-time adoption,"Notes - First-time adoption, Financial statements (IFRS) [text block]"
jpigp_cor:CondensedSemiAnnualFinancialStatementIFRSHeading,国際会計基準による要約中間財務諸表（IFRS） [目次項目],Condensed semi-annual financial statement (IFRS),Condensed semi-annual financial statement (IFRS) [heading]
jpigp_cor:CondensedSemiAnnualStatementOfFinancialPositionIFRSHeading,要約中間財政状態計算書（IFRS） [目次項目],Condensed semi-annual statement of financial position,Condensed semi-annual statement of financial position (IFRS) [heading]
jpigp_cor:CondensedSemiAnnualStatementOfFinancialPositionIFRSTextBlock,要約中間財政状態計算書（IFRS） [テキストブロック],Condensed semi-annual statement of financial position,Condensed semi-annual statement of financial position (IFRS) [text block]
jpigp_cor:CondensedSemiAnnualStatementOfProfitOrLossAndCondensedSemiAnnualStatementOfComprehensiveIncomeIFRSHeading,要約中間損益計算書及び要約中間包括利益計算書（IFRS） [目次項目],Condensed semi-annual statement of profit or loss and condensed semi-annual statement of comprehensive income,Condensed semi-annual statement of profit or loss and condensed semi-annual statement of comprehensive income (IFRS) [heading]
jpigp_cor:CondensedSemiAnnualStatementOfProfitOrLossIFRSHeading,要約中間損益計算書（IFRS） [目次項目],Condensed semi-annual statement of profit or loss,Condensed semi-annual statement of profit or loss (IFRS) [heading]
jpigp_cor:CondensedSemiAnnualStatementOfProfitOrLossIFRSTextBlock,要約中間損益計算書（IFRS） [テキストブロック],Condensed semi-annual statement of profit or loss,Condensed semi-annual statement of profit or loss (IFRS) [text block]
jpigp_cor:CondensedSemiAnnualStatementOfComprehensiveIncomeIFRSHeading,要約中間包括利益計算書（IFRS） [目次項目],Condensed semi-annual statement of comprehensive income,Condensed semi-annual statement of comprehensive income (IFRS) [heading]
jpigp_cor:CondensedSemiAnnualStatementOfComprehensiveIncomeIFRSTextBlock,要約中間包括利益計算書（IFRS） [テキストブロック],Condensed semi-annual statement of comprehensive income,Condensed semi-annual statement of comprehensive income (IFRS) [text block]
jpigp_cor:CondensedSemiAnnualStatementOfComprehensiveIncomeSingleStatementIFRSHeading,要約中間包括利益計算書（1計算書）（IFRS） [目次項目],Condensed semi-annual statement of comprehensive income,Condensed semi-annual statement of comprehensive income (single statement) (IFRS) [heading]
jpigp_cor:CondensedSemiAnnualStatementOfComprehensiveIncomeSingleStatementIFRSTextBlock,要約中間包括利益計算書（1計算書）（IFRS） [テキストブロック],Condensed semi-annual statement of comprehensive income,Condensed semi-annual statement of comprehensive income (single statement) (IFRS) [text block]
jpigp_cor:CondensedSemiAnnualStatementOfChangesInEquityIFRSHeading,要約中間持分変動計算書（IFRS） [目次項目],Condensed semi-annual statement of changes in equity,Condensed semi-annual statement of changes in equity (IFRS) [heading]
jpigp_cor:CondensedSemiAnnualStatementOfChangesInEquityIFRSTextBlock,要約中間持分変動計算書（IFRS） [テキストブロック],Condensed semi-annual statement of changes in equity,Condensed semi-annual statement of changes in equity (IFRS) [text block]
