,Document,ordinanceCode,formCode,DocumentClass
373,届出の取下げ願い（四号の二、四号の二の二、四号の四、四号の四の二、四号の四の三、五号様式）,30,992004,届出の取下げ願い
374,届出の取下げ願い（五号の三、五号の三の四、六号の六、六号の六の二様式）,30,993004,届出の取下げ願い
375,届出の取下げ願い（五号の四、六号様式）,30,994004,届出の取下げ願い
376,臨時報告書（内国特定有価証券）,30,995000,臨時報告書
377,訂正臨時報告書（内国特定有価証券）,30,995001,訂正臨時報告書
378,届出の取下げ願い（五号の五、五号の五の二、六号の二、六号の二の二様式）,30,995004,届出の取下げ願い
379,届出の取下げ願い（第五号の二のニ様式、第五号のニの三様式）,30,996004,届出の取下げ願い
380,届出の取下げ願い（第五号の三のニ様式、第五号の三の三様式）,30,997004,届出の取下げ願い
381,臨時報告書（外国特定有価証券）,30,999000,臨時報告書
382,訂正臨時報告書（外国特定有価証券）,30,999001,訂正臨時報告書
383,外国会社臨時報告書（外国特定有価証券）,30,999100,臨時報告書
384,訂正外国会社臨時報告書（外国特定有価証券）,30,999101,訂正臨時報告書
385,公開買付届出書,40,020000,公開買付届出書
386,訂正公開買付届出書,40,020001,訂正公開買付届出書
387,別途買付け禁止の特例を受けるための申出書,40,030000,別途買付け禁止の特例を受けるための申出書
388,訂正別途買付け禁止の特例を受けるための申出書,40,030001,訂正別途買付け禁止の特例を受けるための申出書
389,意見表明報告書,40,040000,意見表明報告書
390,訂正意見表明報告書,40,040001,訂正意見表明報告書
391,公開買付撤回届出書,40,050006,公開買付撤回届出書
392,訂正公開買付報告書,40,060001,訂正公開買付報告書
393,公開買付報告書,40,060007,公開買付報告書
394,訂正対質問回答報告書,40,080001,訂正対質問回答報告書
395,対質問回答報告書,40,080008,対質問回答報告書
396,公開買付届出書,50,020000,公開買付届出書
397,訂正公開買付届出書,50,020001,訂正公開買付届出書
398,公開買付撤回届出書,50,030006,公開買付撤回届出書
399,訂正公開買付報告書,50,040001,訂正公開買付報告書
400,公開買付報告書,50,040007,公開買付報告書
